"year","co2_per_capita"
"1960",NULL
"1961",NULL
"1962",NULL
"1963",NULL
"1964",NULL
"1965",NULL
"1966",NULL
"1967",NULL
"1968",NULL
"1969",NULL
"1970","2.3960180824809"
"1971","2.70929921374775"
"1972","2.60394755058501"
"1973","2.76301981804336"
"1974","2.87627036431027"
"1975","3.18725317033909"
"1976","3.87547388836243"
"1977","3.43842687797937"
"1978","3.65982127840086"
"1979","4.39301416475549"
"1980","3.82581155138997"
"1981","2.57513343382563"
"1982","2.65768981061681"
"1983","2.83986683786422"
"1984","3.10130808237594"
"1985","3.48896255474727"
"1986","3.82078797970281"
"1987","3.70103012223982"
"1988","3.89206957623711"
"1989","4.23233736887503"
"1990","3.94988830686587"
"1991","3.0646380732013"
"1992","4.14043176694847"
"1993","5.21688363666949"
"1994","5.45952600240906"
"1995","5.23863600350718"
"1996","4.68175885565357"
"1997","5.46162343331999"
"1998","4.11926483190579"
"1999","3.14352865799616"
"2000","3.63618557048837"
"2001","3.99446539862147"
"2002","3.6549049030285"
"2003","3.09251033638118"
"2004","3.27512508395316"
"2005","3.07086366927434"
"2006","2.96552882138164"
"2007","2.76239735214706"
"2008","3.12968787170745"
"2009","3.22206188885657"
"2010","3.59128315639764"
"2011","3.60387649502087"
"2012","3.95319639295885"
"2013","4.09301471070693"
"2014","3.78350962443043"
"2015","3.67151053625834"
"2016","3.95906100155325"
"2017","4.21176025748352"
"2018","4.43234159242137"
"2019","4.70127927950192"
"2020","4.04701423583406"
"2021","4.05924504885642"
"2022","4.32205397205041"
"2023","4.27980632492102"
"2024",NULL
